Date,Open,High,Low,Close,Adj Close,Volume
2020-02-17,4188.819824,4201.350098,4188.080078,4198.310059,4198.310059,10724900
2020-02-18,4173.120117,4184.950195,4147.779785,4164.5,4164.5,22911900
2020-02-19,4158.609863,4162.939941,4134.580078,4139.259766,4139.259766,45429100
2020-02-20,4143.180176,4165,4119.040039,4119.040039,4119.040039,34271400
2020-02-21,4095.409912,4101.27002,4063.139893,4078.439941,4078.439941,31742600
2020-02-24,3982.01001,3987.429932,3896.169922,3917.639893,3917.639893,41660000
2020-02-25,3926.840088,3946.879883,3828.399902,3828.399902,3828.399902,39070600
2020-02-26,3789.830078,3841.189941,3686.719971,3830.340088,3830.340088,44544900
2020-02-27,3732.550049,3747.360107,3603.350098,3639.51001,3639.51001,52578400
2020-02-28,3534.899902,3550.840088,3439.899902,3488.600098,3488.600098,73758200
2020-03-02,3562.52002,3605.649902,3452.98999,3523.23999,3523.23999,56337300
2020-03-03,3611.080078,3649.139893,3568.780029,3575.129883,3575.129883,50998900
2020-03-04,3578.040039,3635.22998,3559.060059,3597.97998,3597.97998,56259100
2020-03-05,3641.620117,3641.620117,3519.310059,3544.830078,3544.830078,53829800
2020-03-06,3477.850098,3491.5,3394.449951,3435.090088,3435.090088,53506000
2020-03-09,null,null,null,null,null,null
2020-03-10,3217.77002,3344.800049,3138.75,3155.600098,3155.600098,0
2020-03-11,3210.699951,3264.699951,3130.02002,3148.409912,3148.409912,0
2020-03-12,3020.110107,3030.350098,2697.939941,2701,2701,0
2020-03-13,2795.699951,2950.360107,2701.780029,2728.929932,2728.929932,0
2020-03-16,2622.5,2622.810059,2406.75,2535.580078,2535.580078,88588700
2020-03-17,2635.01001,2639.159912,2426.719971,2528.77002,2528.77002,82117200
2020-03-18,2517.100098,2597.899902,2511.5,2576.209961,2576.209961,66126900
2020-03-19,2631.189941,2720.439941,2565.419922,2636.02002,2636.02002,70940500
2020-03-20,2761.120117,2856.22998,2735.939941,2771.48999,2771.48999,118509800
2020-03-23,2675.76001,2742.389893,2631.050049,2664.100098,2664.100098,69063400
2020-03-24,2794.77002,2867.590088,2781.199951,2867.590088,2867.590088,60549200
2020-03-25,2980.72998,3036.320068,2826.679932,2919.649902,2919.649902,59707000
2020-03-26,2853.090088,3004.429932,2839,3004.429932,3004.429932,42320300
2020-03-27,2932.169922,2946.850098,2802.98999,2862.790039,2862.790039,49281100
2020-03-30,2854.219971,2854.219971,2755.290039,2826.939941,2826.939941,52013500
2020-03-31,2863.639893,2930.22998,2856.530029,2901.580078,2901.580078,70061000
2020-04-01,2836.540039,2866.080078,2820.72998,2839.419922,2839.419922,58430800
2020-04-02,2878.26001,2912.72998,2829.219971,2895.399902,2895.399902,47392800
2020-04-03,2881.419922,2895.26001,2838.419922,2857.050049,2857.050049,37135500
2020-04-06,2964.959961,2982.169922,2934.189941,2969.800049,2969.800049,52749200
2020-04-07,3035.719971,3068.610107,3001.159912,3033.570068,3033.570068,55719100
2020-04-08,3029.060059,3055.320068,3009.860107,3055.320068,3055.320068,34297900
2020-04-09,3105.800049,3138.48999,3051.050049,3092.389893,3092.389893,47446200
2020-04-14,3130.570068,3142.780029,3046.449951,3057.659912,3057.659912,42590800
2020-04-15,3044.72998,3055.01001,2919.669922,2920.820068,2920.820068,47226600
2020-04-16,2964.169922,2980.560059,2925.159912,2925.159912,2925.159912,49186900
2020-04-17,3015.129883,3018.649902,2980.959961,3015.409912,3015.409912,51303500
2020-04-20,3035.820068,3038.52002,2978.199951,3021.850098,3021.850098,35771400
2020-04-21,2983.530029,2983.530029,2908.090088,2908.090088,2908.090088,35721700
2020-04-22,2943.090088,2951.23999,2915.949951,2950.370117,2950.370117,31431400
2020-04-23,2970.98999,3038.179932,2940.820068,3017.76001,3017.76001,31971300
2020-04-24,2968.639893,2987.469971,2938.939941,2942.97998,2942.97998,40430600
2020-04-27,3005.429932,3036.439941,3003.590088,3036.439941,3036.439941,29799000
2020-04-28,3040.330078,3122.120117,3033.830078,3121.320068,3121.320068,48348000
2020-04-29,3125.860107,3199.169922,3119.399902,3196.120117,3196.120117,41589300
2020-04-30,3198.050049,3210.51001,3086.98999,3099.120117,3099.120117,55523300
2020-05-04,3018.780029,3018.780029,2944.719971,2952.219971,2952.219971,49798300
2020-05-05,3012.52002,3020.120117,2962.389893,3006.290039,3006.290039,37194500
2020-05-06,3013.590088,3036.540039,2989.610107,2998.459961,2998.459961,33223900
2020-05-07,3012.97998,3059.649902,3012.649902,3052.550049,3052.550049,32031000
2020-05-08,3101.290039,3101.290039,3047.22998,3058.659912,3058.659912,41088800
2020-05-11,3079.550049,3088.159912,3029.040039,3060,3060,29985800
2020-05-12,3050.090088,3078.899902,3045.370117,3067.800049,3067.800049,37409400
2020-05-13,3024.300049,3029.679932,2973.77002,2973.77002,2973.77002,39512300
2020-05-14,2917.040039,2939.060059,2852.889893,2899.51001,2899.51001,50100800
2020-05-15,2939.560059,2959.01001,2891.149902,2932.209961,2932.209961,46166500
2020-05-18,2970.72998,3029.290039,2948.830078,3026.689941,3026.689941,43435200
2020-05-19,3048.820068,3056.409912,2936.370117,2960.889893,2960.889893,46540100
2020-05-20,2944.399902,2998.080078,2912.02002,2994.699951,2994.699951,43185600
2020-05-21,2933.840088,2977.22998,2921.570068,2940.620117,2940.620117,33542700
2020-05-22,2905.189941,2979.409912,2891.840088,2962.72998,2962.72998,40338000
2020-05-25,2979.939941,3003.879883,2965.350098,3003.879883,3003.879883,19633300
2020-05-26,3041.97998,3175.610107,3038.909912,3165.459961,3165.459961,47104300
2020-05-27,3182.790039,3262.810059,3177.22998,3234.070068,3234.070068,65314700
2020-05-28,3263.310059,3294.969971,3251.76001,3281.899902,3281.899902,48369800
2020-05-29,3243.540039,3257.969971,3194.709961,3202.949951,3202.949951,65300
2020-06-01,3253.459961,3269.860107,3231.540039,3268.030029,3268.030029,31143000
2020-06-02,3288.840088,3332.610107,3269.310059,3320.419922,3320.419922,46684000
2020-06-03,3341.189941,3427.23999,3340.139893,3427.23999,3427.23999,54093100
2020-06-04,3412.570068,3469.360107,3392.969971,3449.889893,3449.889893,60879800
2020-06-05,3481.389893,3544.659912,3478.659912,3540,3540,69036200
2020-06-08,3515.51001,3565.840088,3511.409912,3535.110107,3535.110107,57622100
2020-06-09,3531.75,3543.399902,3445.25,3487.330078,3487.330078,62300
2020-06-10,3497.48999,3533.689941,3433.219971,3442.659912,3442.659912,42655500
2020-06-11,3355.320068,3358.929932,3271.679932,3271.679932,3271.679932,57600
2020-06-12,3240.550049,3353.889893,3215.290039,3296.629883,3296.629883,49400
2020-06-15,3225.76001,3352.370117,3225.76001,3339.350098,3339.350098,48400
2020-06-16,3405.060059,3495.340088,3388.72998,3447.649902,3447.649902,51400
