Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,5970.589844,5987.220215,5958.250000,5978.060059,5978.060059,20670000
2020-01-02,6016.609863,6062.919922,6011.209961,6041.500000,6041.500000,63958300
2020-01-03,6007.959961,6044.160156,5994.589844,6044.160156,6044.160156,60488000
2020-01-06,6001.209961,6017.970215,5955.250000,6013.589844,6013.589844,69063700
2020-01-07,6033.220215,6065.740234,6000.000000,6012.350098,6012.350098,69593800
2020-01-08,5986.810059,6031.000000,5972.770020,6031.000000,6031.000000,71431600
2020-01-09,6066.750000,6071.660156,6034.149902,6042.549805,6042.549805,67961100
2020-01-10,6056.740234,6057.830078,6028.290039,6037.109863,6037.109863,64393300
2020-01-13,6040.910156,6058.689941,6018.330078,6036.140137,6036.140137,65192400
2020-01-14,6037.450195,6046.120117,5980.049805,6040.890137,6040.890137,75439500
2020-01-15,6042.720215,6053.009766,6011.279785,6032.609863,6032.609863,79851500
2020-01-16,6039.620117,6058.970215,6021.029785,6039.029785,6039.029785,76032900
2020-01-17,6066.290039,6109.810059,6066.290039,6100.720215,6100.720215,79316600
2020-01-20,6092.970215,6094.089844,6071.169922,6078.540039,6078.540039,41270000
2020-01-21,6034.240234,6045.990234,5994.169922,6045.990234,6045.990234,63922800
2020-01-22,6053.850098,6069.259766,6005.770020,6010.979980,6010.979980,69408800
2020-01-23,5992.470215,6024.319824,5961.870117,5971.790039,5971.790039,90037200
2020-01-24,6019.600098,6064.549805,6016.770020,6024.259766,6024.259766,82330600
2020-01-27,5924.060059,5942.830078,5851.000000,5863.020020,5863.020020,104036300
2020-01-28,5886.810059,5933.720215,5857.229980,5925.819824,5925.819824,84491600
2020-01-29,5921.970215,5969.729980,5916.229980,5954.890137,5954.890137,74107000
2020-01-30,5886.020020,5904.080078,5846.450195,5871.770020,5871.770020,89992200
2020-01-31,5891.709961,5894.689941,5799.040039,5806.339844,5806.339844,101862600
2020-02-03,5822.040039,5857.399902,5804.140137,5832.509766,5832.509766,75677800
2020-02-04,5863.359863,5935.049805,5862.819824,5935.049805,5935.049805,85595000
2020-02-05,5919.060059,6004.330078,5912.490234,5985.399902,5985.399902,107839000
2020-02-06,6045.040039,6050.939941,6008.549805,6038.180176,6038.180176,106153100
2020-02-07,6027.540039,6044.970215,5999.950195,6029.750000,6029.750000,82348500
2020-02-10,6008.479980,6018.310059,5993.910156,6015.669922,6015.669922,65703100
2020-02-11,6047.959961,6060.970215,6032.790039,6054.759766,6054.759766,81568400
2020-02-12,6064.250000,6104.729980,6062.970215,6104.729980,6104.729980,92681200
2020-02-13,6076.919922,6098.259766,6028.279785,6093.140137,6093.140137,92665700
2020-02-14,6096.069824,6096.069824,6067.140137,6069.350098,6069.350098,77985500
2020-02-17,6079.529785,6088.600098,6064.919922,6085.950195,6085.950195,58001900
2020-02-18,6042.379883,6079.500000,6039.939941,6056.819824,6056.819824,89930300
2020-02-19,6086.109863,6111.410156,6072.660156,6111.240234,6111.240234,80156900
2020-02-20,6105.169922,6110.950195,6062.299805,6062.299805,6062.299805,91055800
2020-02-21,6035.029785,6067.290039,5995.140137,6029.720215,6029.720215,97327600
2020-02-24,5875.859863,5884.859863,5765.169922,5791.870117,5791.870117,175269600
2020-02-25,5825.370117,5828.459961,5670.709961,5679.680176,5679.680176,143623800
2020-02-26,5646.140137,5707.310059,5526.140137,5684.549805,5684.549805,161976300
2020-02-27,5571.720215,5613.720215,5421.310059,5495.600098,5495.600098,216328100
2020-02-28,5310.819824,5376.049805,5229.560059,5309.899902,5309.899902,268468000
2020-03-02,5416.020020,5430.049805,5197.569824,5333.520020,5333.520020,201844000
2020-03-03,5408.149902,5509.279785,5371.660156,5393.169922,5393.169922,186265500
2020-03-04,5400.430176,5493.250000,5357.350098,5464.890137,5464.890137,152463500
2020-03-05,5490.520020,5494.160156,5329.240234,5361.100098,5361.100098,155475900
2020-03-06,5253.819824,5284.080078,5117.569824,5139.109863,5139.109863,198425500
2020-03-09,4845.270020,4863.339844,4691.200195,4707.910156,4707.910156,329160800
2020-03-10,4770.620117,4924.839844,4615.160156,4636.609863,4636.609863,280309600
2020-03-11,4716.220215,4766.000000,4603.049805,4610.250000,4610.250000,206895800
2020-03-12,4374.669922,4404.259766,4025.889893,4044.260010,4044.260010,371403200
2020-03-13,4234.370117,4438.509766,4055.189941,4118.359863,4118.359863,326461800
2020-03-16,3886.820068,3962.010010,3632.060059,3881.459961,3881.459961,311603900
2020-03-17,4041.330078,4042.459961,3759.000000,3991.780029,3991.780029,225787000
2020-03-18,3905.530029,3908.719971,3726.449951,3754.840088,3754.840088,214274700
2020-03-19,3833.989990,3909.149902,3691.080078,3855.500000,3855.500000,199534100
2020-03-20,4066.790039,4109.109863,3984.300049,4048.800049,4048.800049,271872900
2020-03-23,3869.010010,4097.819824,3851.169922,3914.310059,3914.310059,195845200
2020-03-24,4087.610107,4242.700195,4038.060059,4242.700195,4242.700195,185439800
2020-03-25,4339.709961,4453.009766,4221.319824,4432.299805,4432.299805,176942500
2020-03-26,4332.790039,4543.580078,4296.060059,4543.580078,4543.580078,150657300
2020-03-27,4433.950195,4471.370117,4288.660156,4351.490234,4351.490234,144021100
2020-03-30,4362.089844,4379.149902,4216.410156,4378.509766,4378.509766,119404100
2020-03-31,4437.779785,4468.520020,4309.720215,4396.120117,4396.120117,151397700
2020-04-01,4259.939941,4266.689941,4186.450195,4207.240234,4207.240234,141856100
2020-04-02,4243.839844,4265.560059,4143.160156,4220.959961,4220.959961,135203200
2020-04-03,4204.810059,4214.589844,4142.279785,4154.580078,4154.580078,124037700
2020-04-06,4298.500000,4353.209961,4268.520020,4346.140137,4346.140137,141469800
2020-04-07,4489.399902,4527.600098,4379.270020,4438.270020,4438.270020,146543100
2020-04-08,4397.359863,4442.750000,4333.089844,4442.750000,4442.750000,96256500
2020-04-09,4512.299805,4543.689941,4409.040039,4506.850098,4506.850098,126589000
2020-04-14,4553.549805,4577.839844,4497.560059,4523.910156,4523.910156,104764600
2020-04-15,4511.870117,4525.500000,4335.589844,4353.720215,4353.720215,119358000
2020-04-16,4402.379883,4418.649902,4318.899902,4350.160156,4350.160156,107745200
2020-04-17,4470.919922,4550.779785,4464.089844,4499.009766,4499.009766,134393000
2020-04-20,4531.339844,4531.339844,4426.240234,4528.299805,4528.299805,79833400
2020-04-21,4467.490234,4477.310059,4357.459961,4357.459961,4357.459961,98896700
2020-04-22,4382.200195,4417.569824,4361.439941,4411.799805,4411.799805,84195800
2020-04-23,4450.189941,4495.899902,4395.750000,4451.000000,4451.000000,90083500
