Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,41671.410156,42136.519531,40794.480469,41106.96875,41106.96875,0
2020-01-03,41106.96875,41106.96875,39992.351563,40499.148438,40499.148438,0
2020-01-06,40499.148438,41524.988281,40206.921875,41469.660156,41469.660156,0
2020-01-07,41469.660156,41961.160156,40693.761719,41115.710938,41115.710938,0
2020-01-08,41115.710938,41264.050781,40552.339844,41016.019531,41016.019531,0
2020-01-09,41016.019531,42084.03125,40832.058594,42035.699219,42035.699219,0
2020-01-10,42035.699219,42874.199219,42035.699219,42740.378906,42740.378906,0
2020-01-13,42740.378906,42921.140625,41970.730469,42017.78125,42017.78125,0
2020-01-14,42017.78125,42110.871094,40789.398438,41633.730469,41633.730469,0
2020-01-15,41633.730469,42264.25,40995.210938,41246.191406,41246.191406,0
2020-01-16,41246.191406,42397.269531,41246.191406,42362.339844,42362.339844,0
2020-01-17,42362.339844,43069.648438,42298.390625,42339.820313,42339.820313,0
2020-01-20,42339.820313,43177.589844,42339.820313,43054.011719,43054.011719,0
2020-01-21,43054.011719,43191.058594,41341.429688,41485.859375,41485.859375,0
2020-01-22,41485.859375,42092.328125,41230.53125,42002.339844,42002.339844,0
2020-01-23,42002.339844,42258.230469,41094.191406,41140.210938,41140.210938,0
2020-01-24,41140.210938,41395.359375,39665.140625,39917.820313,39917.820313,0
2020-01-27,39917.820313,39917.820313,38761.210938,39604.570313,39604.570313,0
2020-01-28,39604.570313,40982.148438,39604.570313,40829.699219,40829.699219,0
2020-01-29,40829.699219,41628.761719,40287.011719,40341.421875,40341.421875,0
2020-01-30,40341.421875,40606.679688,39818.621094,40394.949219,40394.949219,0
2020-01-31,40394.949219,40893.878906,39558.808594,40105.039063,40105.039063,0
2020-02-03,40105.039063,41662.261719,40105.039063,41577.058594,41577.058594,0
2020-02-04,41577.058594,42694.71875,40453.441406,41033.789063,41033.789063,0
2020-02-05,41033.789063,41377.160156,40736.859375,40767.101563,40767.101563,0
2020-02-06,40767.101563,41409.128906,40553.820313,40906.089844,40906.089844,0
2020-02-07,40906.089844,41438.921875,40810.53125,41213.890625,41213.890625,0
2020-02-10,41213.890625,41568.019531,40820.050781,41052.949219,41052.949219,0
2020-02-11,41052.949219,41052.949219,39588.988281,39824.5,39824.5,0
2020-02-12,39824.5,40408.5,39527.941406,39936.148438,39936.148438,0
2020-02-13,39936.148438,39936.148438,37967.96875,38669.460938,38669.460938,0
2020-02-14,38669.460938,39129.160156,38061.191406,38647.679688,38647.679688,0
2020-02-17,38647.679688,39288.78125,38600.648438,39200.25,39200.25,0
2020-02-18,39200.25,39200.25,37976.851563,38156.949219,38156.949219,0
2020-02-19,38156.949219,39015.460938,38156.949219,38390.839844,38390.839844,0
2020-02-20,38390.839844,39266.769531,38201.328125,38961.410156,38961.410156,0
2020-02-21,38961.410156,39418.070313,38403.199219,38602.480469,38602.480469,0
2020-02-26,38602.480469,38602.480469,36061.980469,36422.238281,36422.238281,0
2020-02-27,36422.238281,36422.238281,34785.421875,35387.050781,35387.050781,0
2020-02-28,35387.050781,35387.050781,34051.730469,34973.179688,34973.179688,0
2020-03-02,34973.179688,36489.050781,34963.648438,36253.25,36253.25,0
2020-03-03,36253.25,37513.898438,35859.949219,35999.21875,35999.21875,0
2020-03-04,35999.21875,37301.03125,35999.21875,37243.359375,37243.359375,0
2020-03-05,37243.359375,37277.351563,36465.730469,36772.199219,36772.199219,0
2020-03-06,36772.199219,36772.199219,35204.339844,35222.429688,35222.429688,0
2020-03-09,35222.429688,35222.429688,30241.539063,30379.900391,30379.900391,0
2020-03-10,30379.900391,33077.351563,30379.900391,32832.261719,32832.261719,0
2020-03-11,32832.261719,32832.261719,30914.740234,31419.599609,31419.599609,0
2020-03-12,31419.599609,31419.599609,28113.429688,28351.890625,28351.890625,0
2020-03-13,28351.890625,29876,27779.580078,28447.970703,28447.970703,0
2020-03-16,28447.970703,28447.970703,25400.369141,25697.509766,25697.509766,0
2020-03-17,25697.509766,26262.519531,24965.080078,25823.470703,25823.470703,0
2020-03-18,25823.470703,25823.470703,21738.619141,22087.130859,22087.130859,0
2020-03-19,22087.130859,23469.560547,22087.130859,22656.429688,22656.429688,0
2020-03-20,22666.109375,25193.619141,22666.109375,23890.349609,23890.349609,0
2020-03-25,23890.349609,26591.589844,23890.349609,26338.029297,26338.029297,0
2020-03-26,26338.029297,27769.179688,25322.320313,25483.939453,25483.939453,0
2020-03-27,25483.939453,25483.939453,24038.859375,24058.599609,24058.599609,0
2020-03-30,24058.599609,24454.720703,23590.529297,24384.240234,24384.240234,0
2020-04-01,24384.240234,25384.039063,24384.240234,25324.279297,25324.279297,0
